,name,relation,name2
165,郑州大学第一附属医院整形外科,province,河南
166,郑州大学第一附属医院整形外科,city,郑州
167,郑州大学第一附属医院整形外科,city_level,新一线
168,郑州大学第一附属医院整形外科,city_type,省会城市
169,西安雁塔天坛医院医学美容科,hospitallevel,门诊部
170,西安雁塔天坛医院医学美容科,pricelevel,中
171,西安雁塔天坛医院医学美容科,hospitalkind,其他
172,西安雁塔天坛医院医学美容科,hospitallevelname,门诊部
173,西安雁塔天坛医院医学美容科,abbreviation,西安雁塔天坛医院医学美容科
174,西安雁塔天坛医院医学美容科,hospitalscale,其他
175,西安雁塔天坛医院医学美容科,doctorstyle,其他
176,西安雁塔天坛医院医学美容科,country,中国
177,西安雁塔天坛医院医学美容科,area,西北
178,西安雁塔天坛医院医学美容科,province,陕西
179,西安雁塔天坛医院医学美容科,city,西安
180,西安雁塔天坛医院医学美容科,city_level,新一线
181,西安雁塔天坛医院医学美容科,city_type,省会城市
182,杭州临湖门诊部有限公司,hospitallevel,门诊部
183,杭州临湖门诊部有限公司,pricelevel,未知
184,杭州临湖门诊部有限公司,hospitalkind,其他
185,杭州临湖门诊部有限公司,hospitallevelname,门诊部
186,杭州临湖门诊部有限公司,abbreviation,杭州临湖门诊部
187,杭州临湖门诊部有限公司,hospitalscale,其他
188,杭州临湖门诊部有限公司,doctorstyle,其他
189,杭州临湖门诊部有限公司,country,中国
190,杭州临湖门诊部有限公司,area,华东
191,杭州临湖门诊部有限公司,province,浙江
192,杭州临湖门诊部有限公司,city,杭州
193,杭州临湖门诊部有限公司,city_level,新一线
194,杭州临湖门诊部有限公司,city_type,省会城市
195,乐山达芬奇医疗美容门诊部有限公司,hospitallevel,门诊部
196,乐山达芬奇医疗美容门诊部有限公司,pricelevel,中
197,乐山达芬奇医疗美容门诊部有限公司,hospitalkind,其他
198,乐山达芬奇医疗美容门诊部有限公司,hospitallevelname,门诊部
199,乐山达芬奇医疗美容门诊部有限公司,abbreviation,乐山达芬奇医疗美容门诊部
200,乐山达芬奇医疗美容门诊部有限公司,hospitalscale,其他
201,乐山达芬奇医疗美容门诊部有限公司,doctorstyle,其他
202,乐山达芬奇医疗美容门诊部有限公司,country,中国
203,乐山达芬奇医疗美容门诊部有限公司,area,西南
204,乐山达芬奇医疗美容门诊部有限公司,province,四川
205,乐山达芬奇医疗美容门诊部有限公司,city,乐山
206,乐山达芬奇医疗美容门诊部有限公司,city_level,四线
207,乐山达芬奇医疗美容门诊部有限公司,city_type,普通城市
208,沙坪坝柳叶刀医疗美容门诊部,hospitallevel,门诊部
209,沙坪坝柳叶刀医疗美容门诊部,pricelevel,低
210,沙坪坝柳叶刀医疗美容门诊部,hospitalkind,其他
211,沙坪坝柳叶刀医疗美容门诊部,hospitallevelname,门诊部
212,沙坪坝柳叶刀医疗美容门诊部,abbreviation,沙坪坝柳叶刀医院
213,沙坪坝柳叶刀医疗美容门诊部,hospitalscale,其他
214,沙坪坝柳叶刀医疗美容门诊部,doctorstyle,其他
215,沙坪坝柳叶刀医疗美容门诊部,country,中国
216,沙坪坝柳叶刀医疗美容门诊部,area,西南
217,沙坪坝柳叶刀医疗美容门诊部,province,重庆
218,沙坪坝柳叶刀医疗美容门诊部,city,重庆
219,沙坪坝柳叶刀医疗美容门诊部,city_level,新一线
220,沙坪坝柳叶刀医疗美容门诊部,city_type,直辖市
221,上海康态口腔门诊部有限公司,hospitallevel,诊所
222,上海康态口腔门诊部有限公司,pricelevel,低
223,上海康态口腔门诊部有限公司,hospitalkind,其他
224,上海康态口腔门诊部有限公司,hospitallevelname,诊所
225,上海康态口腔门诊部有限公司,abbreviation,上海康态口腔门诊部
226,上海康态口腔门诊部有限公司,hospitalscale,其他
227,上海康态口腔门诊部有限公司,doctorstyle,其他
228,上海康态口腔门诊部有限公司,country,中国
229,上海康态口腔门诊部有限公司,area,华东
230,上海康态口腔门诊部有限公司,province,上海
231,上海康态口腔门诊部有限公司,city,上海
232,上海康态口腔门诊部有限公司,city_level,一线
233,上海康态口腔门诊部有限公司,city_type,直辖市
234,太原万美整形美容医院,hospitallevel,医院
235,太原万美整形美容医院,pricelevel,中
236,太原万美整形美容医院,hospitalkind,其他
237,太原万美整形美容医院,hospitallevelname,医院
238,太原万美整形美容医院,abbreviation,太原万美整形医院
239,太原万美整形美容医院,hospitalscale,其他
240,太原万美整形美容医院,doctorstyle,其他
241,太原万美整形美容医院,country,中国
242,太原万美整形美容医院,area,华北
243,太原万美整形美容医院,province,山西
244,太原万美整形美容医院,city,太原
245,太原万美整形美容医院,city_level,二线
246,太原万美整形美容医院,city_type,省会城市
247,西安睛彩美容服务有限公司雁塔医疗美容诊所,hospitallevel,诊所
248,西安睛彩美容服务有限公司雁塔医疗美容诊所,pricelevel,中
249,西安睛彩美容服务有限公司雁塔医疗美容诊所,hospitalkind,其他
250,西安睛彩美容服务有限公司雁塔医疗美容诊所,hospitallevelname,诊所
251,西安睛彩美容服务有限公司雁塔医疗美容诊所,abbreviation,西安睛彩整形医院
252,西安睛彩美容服务有限公司雁塔医疗美容诊所,hospitalscale,其他
253,西安睛彩美容服务有限公司雁塔医疗美容诊所,doctorstyle,其他
254,西安睛彩美容服务有限公司雁塔医疗美容诊所,country,中国
255,西安睛彩美容服务有限公司雁塔医疗美容诊所,area,西北
256,西安睛彩美容服务有限公司雁塔医疗美容诊所,province,陕西
257,西安睛彩美容服务有限公司雁塔医疗美容诊所,city,西安
258,西安睛彩美容服务有限公司雁塔医疗美容诊所,city_level,新一线
259,西安睛彩美容服务有限公司雁塔医疗美容诊所,city_type,省会城市
260,嘉悦丽格眼科门诊部,hospitallevel,门诊部
261,嘉悦丽格眼科门诊部,pricelevel,低
262,嘉悦丽格眼科门诊部,hospitalkind,其他
263,嘉悦丽格眼科门诊部,hospitallevelname,门诊部
264,嘉悦丽格眼科门诊部,abbreviation,嘉悦丽格眼科医院
265,嘉悦丽格眼科门诊部,hospitalscale,其他
266,嘉悦丽格眼科门诊部,doctorstyle,其他
267,嘉悦丽格眼科门诊部,country,中国
268,嘉悦丽格眼科门诊部,area,华北
269,嘉悦丽格眼科门诊部,province,北京
270,嘉悦丽格眼科门诊部,city,北京
271,嘉悦丽格眼科门诊部,city_level,一线
272,嘉悦丽格眼科门诊部,city_type,直辖市
273,郑州花绽美容服务有限公司,hospitallevel,门诊部
274,郑州花绽美容服务有限公司,pricelevel,低
275,郑州花绽美容服务有限公司,hospitalkind,其他
276,郑州花绽美容服务有限公司,hospitallevelname,门诊部
277,郑州花绽美容服务有限公司,abbreviation,郑州花绽整形医院未认证C
278,郑州花绽美容服务有限公司,hospitalscale,其他
279,郑州花绽美容服务有限公司,doctorstyle,其他
280,郑州花绽美容服务有限公司,country,中国
281,郑州花绽美容服务有限公司,area,华中
282,郑州花绽美容服务有限公司,province,河南
283,郑州花绽美容服务有限公司,city,郑州
284,郑州花绽美容服务有限公司,city_level,新一线
285,郑州花绽美容服务有限公司,city_type,省会城市
286,郑州天美整形美容,hospitallevel,门诊部
287,郑州天美整形美容,pricelevel,中
288,郑州天美整形美容,hospitalkind,其他
289,郑州天美整形美容,hospitallevelname,门诊部
290,郑州天美整形美容,abbreviation,郑州天美整形医院
291,郑州天美整形美容,hospitalscale,其他
292,郑州天美整形美容,doctorstyle,其他
293,郑州天美整形美容,country,中国
294,郑州天美整形美容,area,华中
295,郑州天美整形美容,province,河南
296,郑州天美整形美容,city,郑州
297,郑州天美整形美容,city_level,新一线
298,郑州天美整形美容,city_type,省会城市
299,南京美好尉来医疗美容有限公司,hospitallevel,门诊部
300,南京美好尉来医疗美容有限公司,pricelevel,低
301,南京美好尉来医疗美容有限公司,hospitalkind,其他
302,南京美好尉来医疗美容有限公司,hospitallevelname,门诊部
303,南京美好尉来医疗美容有限公司,abbreviation,南京美好尉来
304,南京美好尉来医疗美容有限公司,hospitalscale,其他
305,南京美好尉来医疗美容有限公司,doctorstyle,其他
306,南京美好尉来医疗美容有限公司,country,中国
307,南京美好尉来医疗美容有限公司,area,华东
308,南京美好尉来医疗美容有限公司,province,江苏
309,南京美好尉来医疗美容有限公司,city,南京
310,南京美好尉来医疗美容有限公司,city_level,新一线
311,南京美好尉来医疗美容有限公司,city_type,省会城市
312,深圳雅唯医疗美容门诊部有限公司,hospitallevel,诊所
313,深圳雅唯医疗美容门诊部有限公司,pricelevel,未知
314,深圳雅唯医疗美容门诊部有限公司,hospitalkind,其他
315,深圳雅唯医疗美容门诊部有限公司,hospitallevelname,诊所
316,深圳雅唯医疗美容门诊部有限公司,abbreviation,深圳雅唯医疗美容门诊部
317,深圳雅唯医疗美容门诊部有限公司,hospitalscale,其他
318,深圳雅唯医疗美容门诊部有限公司,doctorstyle,其他
319,深圳雅唯医疗美容门诊部有限公司,country,中国
320,深圳雅唯医疗美容门诊部有限公司,area,华南
321,深圳雅唯医疗美容门诊部有限公司,province,广东
322,深圳雅唯医疗美容门诊部有限公司,city,深圳
323,深圳雅唯医疗美容门诊部有限公司,city_level,一线
324,深圳雅唯医疗美容门诊部有限公司,city_type,普通城市
325,南京市儿童医院烧伤整形外科,hospitallevel,医院
326,南京市儿童医院烧伤整形外科,pricelevel,中
327,南京市儿童医院烧伤整形外科,hospitalkind,其他
328,南京市儿童医院烧伤整形外科,hospitallevelname,医院
329,南京市儿童医院烧伤整形外科,abbreviation,南京市儿童医院烧伤整形外科
330,南京市儿童医院烧伤整形外科,hospitalscale,其他
331,南京市儿童医院烧伤整形外科,doctorstyle,其他
332,南京市儿童医院烧伤整形外科,country,中国
333,南京市儿童医院烧伤整形外科,area,华东
334,南京市儿童医院烧伤整形外科,province,江苏
335,南京市儿童医院烧伤整形外科,city,南京
336,南京市儿童医院烧伤整形外科,city_level,新一线
337,南京市儿童医院烧伤整形外科,city_type,省会城市
338,赤峰学院附属医院美容科,hospitallevel,门诊部
339,赤峰学院附属医院美容科,pricelevel,中
340,赤峰学院附属医院美容科,hospitalkind,其他
341,赤峰学院附属医院美容科,hospitallevelname,门诊部
342,赤峰学院附属医院美容科,abbreviation,赤峰学院附属医院整形科
343,赤峰学院附属医院美容科,hospitalscale,其他
344,赤峰学院附属医院美容科,doctorstyle,其他
345,赤峰学院附属医院美容科,country,中国
346,赤峰学院附属医院美容科,area,东北
347,赤峰学院附属医院美容科,province,内蒙古
348,赤峰学院附属医院美容科,city,赤峰
349,赤峰学院附属医院美容科,city_level,四线
350,赤峰学院附属医院美容科,city_type,普通城市
351,兰州五星嘉琳医学美容医院,hospitallevel,医院
352,兰州五星嘉琳医学美容医院,pricelevel,中
353,兰州五星嘉琳医学美容医院,hospitalkind,其他
354,兰州五星嘉琳医学美容医院,hospitallevelname,医院
355,兰州五星嘉琳医学美容医院,abbreviation,兰州嘉琳美容医院
356,兰州五星嘉琳医学美容医院,hospitalscale,其他
357,兰州五星嘉琳医学美容医院,doctorstyle,其他
358,兰州五星嘉琳医学美容医院,country,中国
359,兰州五星嘉琳医学美容医院,area,西北
360,兰州五星嘉琳医学美容医院,province,甘肃
361,兰州五星嘉琳医学美容医院,city,兰州
362,兰州五星嘉琳医学美容医院,city_level,二线
363,兰州五星嘉琳医学美容医院,city_type,省会城市
364,杭州美立方医疗美容门诊部有限公司,hospitallevel,门诊部
365,杭州美立方医疗美容门诊部有限公司,pricelevel,中
366,杭州美立方医疗美容门诊部有限公司,hospitalkind,其他
367,杭州美立方医疗美容门诊部有限公司,hospitallevelname,门诊部
368,杭州美立方医疗美容门诊部有限公司,abbreviation,杭州美立方医疗美容门诊部
369,杭州美立方医疗美容门诊部有限公司,hospitalscale,其他
370,杭州美立方医疗美容门诊部有限公司,doctorstyle,其他
371,杭州美立方医疗美容门诊部有限公司,country,中国
372,杭州美立方医疗美容门诊部有限公司,area,华东
373,杭州美立方医疗美容门诊部有限公司,province,浙江
374,杭州美立方医疗美容门诊部有限公司,city,杭州
375,杭州美立方医疗美容门诊部有限公司,city_level,新一线
376,杭州美立方医疗美容门诊部有限公司,city_type,省会城市
377,上海艺星医疗美容医院有限公司,hospitallevel,医院
378,上海艺星医疗美容医院有限公司,pricelevel,中
379,上海艺星医疗美容医院有限公司,hospitalkind,其他
380,上海艺星医疗美容医院有限公司,hospitallevelname,医院
381,上海艺星医疗美容医院有限公司,abbreviation,上海艺星整形医院
382,上海艺星医疗美容医院有限公司,hospitalscale,大型连锁
383,上海艺星医疗美容医院有限公司,doctorstyle,综合
384,上海艺星医疗美容医院有限公司,country,中国
385,上海艺星医疗美容医院有限公司,area,华东
386,上海艺星医疗美容医院有限公司,province,上海
387,上海艺星医疗美容医院有限公司,city,上海
388,上海艺星医疗美容医院有限公司,city_level,一线
389,上海艺星医疗美容医院有限公司,city_type,直辖市
390,杭州美立妍医疗美容有限公司,hospitallevel,诊所
391,杭州美立妍医疗美容有限公司,pricelevel,未知
392,杭州美立妍医疗美容有限公司,hospitalkind,其他
393,杭州美立妍医疗美容有限公司,hospitallevelname,诊所
394,杭州美立妍医疗美容有限公司,abbreviation,杭州美立妍医疗美容
395,杭州美立妍医疗美容有限公司,hospitalscale,其他
396,杭州美立妍医疗美容有限公司,doctorstyle,其他
397,杭州美立妍医疗美容有限公司,country,中国
398,杭州美立妍医疗美容有限公司,area,华东
399,杭州美立妍医疗美容有限公司,province,浙江
400,杭州美立妍医疗美容有限公司,city,杭州
401,杭州美立妍医疗美容有限公司,city_level,新一线
402,杭州美立妍医疗美容有限公司,city_type,省会城市
403,唯美星医疗整形美容,hospitallevel,门诊部
404,唯美星医疗整形美容,pricelevel,低
405,唯美星医疗整形美容,hospitalkind,其他
406,唯美星医疗整形美容,hospitallevelname,门诊部
407,唯美星医疗整形美容,abbreviation,唯美星整形医院
408,唯美星医疗整形美容,hospitalscale,其他
409,唯美星医疗整形美容,doctorstyle,其他
410,唯美星医疗整形美容,country,中国
411,唯美星医疗整形美容,area,华南
412,唯美星医疗整形美容,province,广东
413,唯美星医疗整形美容,city,深圳
414,唯美星医疗整形美容,city_level,一线
415,唯美星医疗整形美容,city_type,普通城市
416,重庆骑士整形美容医院植发科,hospitallevel,诊所
417,重庆骑士整形美容医院植发科,pricelevel,中
418,重庆骑士整形美容医院植发科,hospitalkind,其他
419,重庆骑士整形美容医院植发科,hospitallevelname,诊所
420,重庆骑士整形美容医院植发科,abbreviation,重庆骑士医院植发科
421,重庆骑士整形美容医院植发科,hospitalscale,其他
422,重庆骑士整形美容医院植发科,doctorstyle,其他
423,重庆骑士整形美容医院植发科,country,中国
424,重庆骑士整形美容医院植发科,area,西南
425,重庆骑士整形美容医院植发科,province,重庆
426,重庆骑士整形美容医院植发科,city,重庆
427,重庆骑士整形美容医院植发科,city_level,新一线
428,重庆骑士整形美容医院植发科,city_type,直辖市
429,上海镜面门诊部有限公司,hospitallevel,门诊部
430,上海镜面门诊部有限公司,pricelevel,低
431,上海镜面门诊部有限公司,hospitalkind,其他
432,上海镜面门诊部有限公司,hospitallevelname,门诊部
433,上海镜面门诊部有限公司,abbreviation,上海镜面医疗美容
434,上海镜面门诊部有限公司,hospitalscale,其他
435,上海镜面门诊部有限公司,doctorstyle,综合
436,上海镜面门诊部有限公司,country,中国
437,上海镜面门诊部有限公司,area,华东
438,上海镜面门诊部有限公司,province,上海
439,上海镜面门诊部有限公司,city,上海
440,上海镜面门诊部有限公司,city_level,一线
441,上海镜面门诊部有限公司,city_type,直辖市
442,哈尔滨市道外区人民医院,hospitallevel,医院
443,哈尔滨市道外区人民医院,pricelevel,低
444,哈尔滨市道外区人民医院,hospitalkind,甲级
445,哈尔滨市道外区人民医院,hospitallevelname,医院
446,哈尔滨市道外区人民医院,abbreviation,哈尔滨市道外区人民医院
447,哈尔滨市道外区人民医院,hospitalscale,其他
448,哈尔滨市道外区人民医院,doctorstyle,其他
449,哈尔滨市道外区人民医院,country,中国
450,哈尔滨市道外区人民医院,area,东北
451,哈尔滨市道外区人民医院,province,黑龙江
452,哈尔滨市道外区人民医院,city,哈尔滨
453,哈尔滨市道外区人民医院,city_level,二线
454,哈尔滨市道外区人民医院,city_type,省会城市
455,大连天俪医疗美容医院有限公司,hospitallevel,医院
456,大连天俪医疗美容医院有限公司,pricelevel,未知
457,大连天俪医疗美容医院有限公司,hospitalkind,其他
458,大连天俪医疗美容医院有限公司,hospitallevelname,医院
459,大连天俪医疗美容医院有限公司,abbreviation,大连天俪医疗美容医院
460,大连天俪医疗美容医院有限公司,hospitalscale,其他
461,大连天俪医疗美容医院有限公司,doctorstyle,其他
462,大连天俪医疗美容医院有限公司,country,中国
463,大连天俪医疗美容医院有限公司,area,东北
464,大连天俪医疗美容医院有限公司,province,辽宁
465,大连天俪医疗美容医院有限公司,city,大连
466,大连天俪医疗美容医院有限公司,city_level,二线
467,大连天俪医疗美容医院有限公司,city_type,普通城市
468,西安碑林西美整形外科门诊部,hospitallevel,门诊部
469,西安碑林西美整形外科门诊部,pricelevel,中
470,西安碑林西美整形外科门诊部,hospitalkind,其他
471,西安碑林西美整形外科门诊部,hospitallevelname,门诊部
472,西安碑林西美整形外科门诊部,abbreviation,西安碑林西美整形外科门诊部
473,西安碑林西美整形外科门诊部,hospitalscale,其他
474,西安碑林西美整形外科门诊部,doctorstyle,其他
475,西安碑林西美整形外科门诊部,country,中国
476,西安碑林西美整形外科门诊部,area,西北
477,西安碑林西美整形外科门诊部,province,陕西
478,西安碑林西美整形外科门诊部,city,西安
479,西安碑林西美整形外科门诊部,city_level,新一线
480,西安碑林西美整形外科门诊部,city_type,省会城市
481,南京侨台美容第三诊所,hospitallevel,诊所
482,南京侨台美容第三诊所,pricelevel,中
483,南京侨台美容第三诊所,hospitalkind,其他
484,南京侨台美容第三诊所,hospitallevelname,诊所
485,南京侨台美容第三诊所,abbreviation,南京侨台美容第三诊所
486,南京侨台美容第三诊所,hospitalscale,其他
487,南京侨台美容第三诊所,doctorstyle,其他
488,南京侨台美容第三诊所,country,中国
489,南京侨台美容第三诊所,area,华东
490,南京侨台美容第三诊所,province,江苏
491,南京侨台美容第三诊所,city,南京
492,南京侨台美容第三诊所,city_level,新一线
493,南京侨台美容第三诊所,city_type,省会城市
494,保定宝特医疗美容诊所,hospitallevel,诊所
495,保定宝特医疗美容诊所,pricelevel,中
496,保定宝特医疗美容诊所,hospitalkind,其他
497,保定宝特医疗美容诊所,hospitallevelname,诊所
498,保定宝特医疗美容诊所,abbreviation,保定宝特整形医院
499,保定宝特医疗美容诊所,hospitalscale,其他
500,保定宝特医疗美容诊所,doctorstyle,其他
501,保定宝特医疗美容诊所,country,中国
502,保定宝特医疗美容诊所,area,华北
503,保定宝特医疗美容诊所,province,河北
504,保定宝特医疗美容诊所,city,保定
505,保定宝特医疗美容诊所,city_level,三线
506,保定宝特医疗美容诊所,city_type,普通城市
507,深圳港美医疗美容门诊,hospitallevel,诊所
508,深圳港美医疗美容门诊,pricelevel,中
509,深圳港美医疗美容门诊,hospitalkind,其他
510,深圳港美医疗美容门诊,hospitallevelname,诊所
511,深圳港美医疗美容门诊,abbreviation,深圳港美整形医院
512,深圳港美医疗美容门诊,hospitalscale,其他
513,深圳港美医疗美容门诊,doctorstyle,其他
514,深圳港美医疗美容门诊,country,中国
515,深圳港美医疗美容门诊,area,华南
516,深圳港美医疗美容门诊,province,广东
517,深圳港美医疗美容门诊,city,深圳
